state,county,level,eevp,votes_harris_k_total,votes_harris_k_advance,votes_harris_k_provisional,votes_harris_k_absentee_mail,votes_harris_k_absentee_in_person,votes_harris_k_election_day_in_person,votes_trump_d_total,votes_trump_d_advance,votes_trump_d_provisional,votes_trump_d_absentee_mail,votes_trump_d_absentee_in_person,votes_trump_d_election_day_in_person,total_votes_2024,pct_dem_2024,pct_rep_2024,total_votes_2020,pct_dem_2020,pct_rep_2020
California,Calaveras,county,97,9071,NA,NA,NA,NA,NA,16456,NA,NA,NA,NA,NA,26183,34.64461673605011,62.849940801283275,27164,36.983,60.808
California,San Benito,county,81,13021,NA,NA,NA,NA,NA,10065,NA,NA,NA,NA,NA,23704,54.931657104286195,42.46118798515018,28821,61.164,36.744
California,Amador,county,97,7709,NA,NA,NA,NA,NA,13884,NA,NA,NA,NA,NA,22178,34.759671746776085,62.60257913247362,22302,36.557,60.914
California,Nevada,county,29.71,10930,NA,NA,NA,NA,NA,10324,NA,NA,NA,NA,NA,21799,50.13991467498509,47.35997064085508,64738,56.163,41.365
California,Siskiyou,county,80,7972,NA,NA,NA,NA,NA,11828,NA,NA,NA,NA,NA,20466,38.9524088732532,57.793413466236686,23450,40.908,56.674
California,Yuba,county,55,6293,NA,NA,NA,NA,NA,10693,NA,NA,NA,NA,NA,17421,36.12306985821709,61.37994374605361,29787,37.701,59.341
California,Tehama,county,54,4975,NA,NA,NA,NA,NA,11652,NA,NA,NA,NA,NA,16980,29.299175500588927,68.62190812720848,28721,31.026,66.645
California,Mendocino,county,38,10110,NA,NA,NA,NA,NA,4852,NA,NA,NA,NA,NA,15422,65.55569964985087,31.461548437297367,43336,66.416,30.614
California,Lassen,county,87.47,2305,NA,NA,NA,NA,NA,7885,NA,NA,NA,NA,NA,10435,22.089123143267848,75.563009103977,11985,23.354,74.844
California,Glenn,county,88,3099,NA,NA,NA,NA,NA,6662,NA,NA,NA,NA,NA,10022,30.921971662342845,66.47375773298742,11292,35.379,62.549
California,Mariposa,county,94,3526,NA,NA,NA,NA,NA,5453,NA,NA,NA,NA,NA,9232,38.19324090121317,59.06629116117851,10280,39.767,57.879
California,Del Norte,county,82,3754,NA,NA,NA,NA,NA,5001,NA,NA,NA,NA,NA,9011,41.66019309732549,55.49883475751859,11452,40.84,56.418
California,Plumas,county,85,3328,NA,NA,NA,NA,NA,4781,NA,NA,NA,NA,NA,8335,39.92801439712058,57.36052789442112,11256,40.521,57.258
California,Inyo,county,82,3833,NA,NA,NA,NA,NA,4203,NA,NA,NA,NA,NA,8285,46.26433313216656,50.730235365117686,9481,48.877,48.729
California,Lake,county,28,3899,NA,NA,NA,NA,NA,3772,NA,NA,NA,NA,NA,7866,49.56775997965929,47.953216374269005,28800,51.878,45.566
California,Mono,county,88,3399,NA,NA,NA,NA,NA,2213,NA,NA,NA,NA,NA,5851,58.092633737822595,37.82259442830286,6737,59.567,37.301
California,Colusa,county,97,1769,NA,NA,NA,NA,NA,3253,NA,NA,NA,NA,NA,5146,34.3762145355616,63.21414691022153,7961,40.686,57.267
California,Trinity,county,75,2133,NA,NA,NA,NA,NA,2542,NA,NA,NA,NA,NA,4846,44.01568303755675,52.45563351217499,6258,45.558,50.943
California,Modoc,county,80,865,NA,NA,NA,NA,NA,2440,NA,NA,NA,NA,NA,3405,25.40381791483113,71.65932452276064,4338,26.51,71.669
California,Sierra,county,98.03,635,NA,NA,NA,NA,NA,1058,NA,NA,NA,NA,NA,1739,36.51523864289822,60.83956296722254,1930,37.824,59.171
California,Alpine,county,94,444,NA,NA,NA,NA,NA,231,NA,NA,NA,NA,NA,689,64.44121915820028,33.52685050798258,741,64.238,32.928
Colorado,Colorado,state,94.42,1686157,NA,NA,NA,NA,NA,1341833,NA,NA,NA,NA,NA,3110142,54.21479147897427,43.14378571782253,3256952,55.4,41.898
Colorado,El Paso,county,96,165355,NA,NA,NA,NA,NA,202882,NA,NA,NA,NA,NA,378427,43.6953494333121,53.61192515333208,378849,42.746,53.538
Colorado,Jefferson,county,97,209414,NA,NA,NA,NA,NA,139426,NA,NA,NA,NA,NA,358866,58.35437182681001,38.85182770170481,377357,57.875,39.331
