state,office,updated_at,eevp,place,level,candidate_id,party,votes_total
California,U.S. Senate,2024-11-11T01:26:00.115Z,75,Trinity,county,garvey-s,Republican,2706
California,U.S. Senate,2024-11-11T01:26:00.115Z,75,Trinity,county,schiff-a,Democrat,2094
California,U.S. Senate,2024-11-11T01:26:00.115Z,79.99,Modoc,county,garvey-s,Republican,2514
California,U.S. Senate,2024-11-11T01:26:00.115Z,79.99,Modoc,county,schiff-a,Democrat,836
California,U.S. Senate,2024-11-11T01:26:00.115Z,98,Sierra,county,garvey-s,Republican,1103
California,U.S. Senate,2024-11-11T01:26:00.115Z,98,Sierra,county,schiff-a,Democrat,611
California,U.S. Senate,2024-11-11T01:26:00.115Z,94.03,Alpine,county,schiff-a,Democrat,429
California,U.S. Senate,2024-11-11T01:26:00.115Z,94.03,Alpine,county,garvey-s,Republican,248
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,97.97,Connecticut,state,murphy-c,Democrat,994475
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,97.97,Connecticut,state,corey-m,Republican,672717
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,97.97,Connecticut,state,paglino-j,Green,14815
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,97.97,Connecticut,state,finley_hyde-r,Independent,14766
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stamford,township,murphy-c,Democrat,35640
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stamford,township,corey-m,Republican,18462
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stamford,township,paglino-j,Green,449
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Stamford,township,finley_hyde-r,Independent,419
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Norwalk,township,murphy-c,Democrat,26335
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Norwalk,township,corey-m,Republican,13760
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Norwalk,township,paglino-j,Green,824
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Norwalk,township,finley_hyde-r,Independent,343
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Haven,township,murphy-c,Democrat,30242
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Haven,township,corey-m,Republican,5785
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Haven,township,paglino-j,Green,711
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,New Haven,township,finley_hyde-r,Independent,278
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,West Hartford,township,murphy-c,Democrat,25985
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,West Hartford,township,corey-m,Republican,8222
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,West Hartford,township,paglino-j,Green,409
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,West Hartford,township,finley_hyde-r,Independent,216
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bridgeport,township,murphy-c,Democrat,26272
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bridgeport,township,corey-m,Republican,7386
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bridgeport,township,finley_hyde-r,Independent,416
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Bridgeport,township,paglino-j,Green,331
